item,status,source,provisional,slip,guess,method,guess_donor,delhi_responses_this_format,data_availability_note
Division|Relationship between Multiplication and Division|Fib||18|6|False,in_bank,borrowed,True,0.0975,0.0444,fallback_skill_no_data:borrow_nearest_skill,1D/2D by 1D without remainder,0,No Delhi responses to this format; borrowed-provisional from skill '1D/2D by 1D without remainder' via fallback_skill_no_data:borrow_nearest_skill.
Division|Relationship between Multiplication and Division|Fib||18|6|True,DROPPED_FROM_BANK,,,,,,,0,Removed from the question bank in the latest revision (the |True remainder-format half was dropped).
Division|Relationship between Multiplication and Division|Fib||5|1|False,in_bank,borrowed,True,0.0975,0.0444,fallback_skill_no_data:borrow_nearest_skill,1D/2D by 1D without remainder,0,No Delhi responses to this format; borrowed-provisional from skill '1D/2D by 1D without remainder' via fallback_skill_no_data:borrow_nearest_skill.
Division|Relationship between Multiplication and Division|Fib||5|1|True,DROPPED_FROM_BANK,,,,,,,0,Removed from the question bank in the latest revision (the |True remainder-format half was dropped).
Division|Relationship between Multiplication and Division|Fib||7|7|False,in_bank,borrowed,True,0.0975,0.0444,fallback_skill_no_data:borrow_nearest_skill,1D/2D by 1D without remainder,0,No Delhi responses to this format; borrowed-provisional from skill '1D/2D by 1D without remainder' via fallback_skill_no_data:borrow_nearest_skill.
Division|Relationship between Multiplication and Division|Fib||7|7|True,DROPPED_FROM_BANK,,,,,,,0,Removed from the question bank in the latest revision (the |True remainder-format half was dropped).
Division|Relationship between Multiplication and Division|Fib||4|2|False,in_bank,borrowed,True,0.0975,0.0444,fallback_skill_no_data:borrow_nearest_skill,1D/2D by 1D without remainder,0,No Delhi responses to this format; borrowed-provisional from skill '1D/2D by 1D without remainder' via fallback_skill_no_data:borrow_nearest_skill.
Division|Relationship between Multiplication and Division|Fib||4|2|True,DROPPED_FROM_BANK,,,,,,,0,Removed from the question bank in the latest revision (the |True remainder-format half was dropped).
Division|1D/2D by 1D without remainder|Fib||80|4|False,in_bank,borrowed,True,0.0975,0.0444,fallback_no_response_data:borrow_same_skill,1D/2D by 1D without remainder,0,No Delhi responses to this format; borrowed-provisional from skill '1D/2D by 1D without remainder' via fallback_no_response_data:borrow_same_skill.
Division|1D/2D by 1D without remainder|Fib||80|4|True,DROPPED_FROM_BANK,,,,,,,0,Removed from the question bank in the latest revision (the |True remainder-format half was dropped).
Division|1D/2D by 1D without remainder|Fib||75|3|False,in_bank,borrowed,True,0.0975,0.0444,fallback_no_response_data:borrow_same_skill,1D/2D by 1D without remainder,0,No Delhi responses to this format; borrowed-provisional from skill '1D/2D by 1D without remainder' via fallback_no_response_data:borrow_same_skill.
Division|1D/2D by 1D without remainder|Fib||75|3|True,DROPPED_FROM_BANK,,,,,,,0,Removed from the question bank in the latest revision (the |True remainder-format half was dropped).
Division|1D/2D by 1D without remainder|Fib||60|5|False,in_bank,borrowed,True,0.0975,0.0444,fallback_no_response_data:borrow_same_skill,1D/2D by 1D without remainder,0,No Delhi responses to this format; borrowed-provisional from skill '1D/2D by 1D without remainder' via fallback_no_response_data:borrow_same_skill.
Division|1D/2D by 1D without remainder|Fib||60|5|True,DROPPED_FROM_BANK,,,,,,,0,Removed from the question bank in the latest revision (the |True remainder-format half was dropped).
Division|1D/2D by 1D without remainder|Fib||36|3|False,in_bank,estimated,False,0.0975,0.0444,estimated,,24173,"Estimated from 24,173 Delhi responses to this exact format."
Division|1D/2D by 1D without remainder|Fib||36|3|True,DROPPED_FROM_BANK,,,,,,,0,Removed from the question bank in the latest revision (the |True remainder-format half was dropped).
