q_x_id,qset_x_id,q_id,item,logical_item,l1_skill,l2_5_skill,q_type,grade,slip,guess,discrimination,source,method,grade_specific,provisional,invariance_decision,slip_donor,guess_donor,mcq_floor_applied,n_learners,mastery_prevalence,lr_stat,p_holm
q_add_00076_b,,4ec4b86f-9140-45b7-84ee-1aadc47f6840,Addition|1D+1D sum upto 9|Fib||3|4,q_add_00076_b,Addition,1D+1D sum upto 9,Fib,3,0.0563,0.2053,0.7384,borrowed,fallback_skill_no_data:borrow_nearest_skill,True,True,,1D+1D sum upto 20,1D+1D sum upto 20,False,,,,
q_add_00076_b,,4ec4b86f-9140-45b7-84ee-1aadc47f6840,Addition|1D+1D sum upto 9|Fib||3|4,q_add_00076_b,Addition,1D+1D sum upto 9,Fib,4,0.0437,0.1843,0.772,borrowed,fallback_skill_no_data:borrow_nearest_skill,True,True,,1D+1D sum upto 20,1D+1D sum upto 20,False,,,,
q_add_00076_b,,4ec4b86f-9140-45b7-84ee-1aadc47f6840,Addition|1D+1D sum upto 9|Fib||3|4,q_add_00076_b,Addition,1D+1D sum upto 9,Fib,5,0.0362,0.2115,0.7523,borrowed,fallback_skill_no_data:borrow_nearest_skill,True,True,,1D+1D sum upto 20,1D+1D sum upto 20,False,,,,
q_add_00076_b,,4ec4b86f-9140-45b7-84ee-1aadc47f6840,Addition|1D+1D sum upto 9|Fib||3|4,q_add_00076_b,Addition,1D+1D sum upto 9,Fib,6,0.0319,0.0915,0.8766,borrowed,fallback_skill_no_data:borrow_nearest_skill,True,True,,1D+1D sum upto 20,1D+1D sum upto 20,False,,,,
q_add_00076_b,,4ec4b86f-9140-45b7-84ee-1aadc47f6840,Addition|1D+1D sum upto 9|Fib||3|4,q_add_00076_b,Addition,1D+1D sum upto 9,Fib,7,0.0325,0.0948,0.8727,borrowed,fallback_skill_no_data:borrow_nearest_skill,True,True,,1D+1D sum upto 20,1D+1D sum upto 20,False,,,,
q_add_00076_b,,4ec4b86f-9140-45b7-84ee-1aadc47f6840,Addition|1D+1D sum upto 9|Fib||3|4,q_add_00076_b,Addition,1D+1D sum upto 9,Fib,8,0.0246,0.081,0.8944,borrowed,fallback_skill_no_data:borrow_nearest_skill,True,True,,1D+1D sum upto 20,1D+1D sum upto 20,False,,,,
q_add_00076_b,,4ec4b86f-9140-45b7-84ee-1aadc47f6840,Addition|1D+1D sum upto 9|Fib||3|4,q_add_00076_b,Addition,1D+1D sum upto 9,Fib,all,0.0341,0.1172,0.8487,borrowed,fallback_skill_no_data:borrow_nearest_skill,True,True,,1D+1D sum upto 20,1D+1D sum upto 20,False,,,,
q_add_00076_z,,25065f5a-04d7-4c68-a9ca-2238b86e3395,Addition|1D+1D sum upto 9|Fib||3|4,q_add_00076_z,Addition,1D+1D sum upto 9,Fib,3,0.0563,0.2053,0.7384,borrowed,fallback_skill_no_data:borrow_nearest_skill,True,True,,1D+1D sum upto 20,1D+1D sum upto 20,False,,,,
q_add_00076_z,,25065f5a-04d7-4c68-a9ca-2238b86e3395,Addition|1D+1D sum upto 9|Fib||3|4,q_add_00076_z,Addition,1D+1D sum upto 9,Fib,4,0.0437,0.1843,0.772,borrowed,fallback_skill_no_data:borrow_nearest_skill,True,True,,1D+1D sum upto 20,1D+1D sum upto 20,False,,,,
q_add_00076_z,,25065f5a-04d7-4c68-a9ca-2238b86e3395,Addition|1D+1D sum upto 9|Fib||3|4,q_add_00076_z,Addition,1D+1D sum upto 9,Fib,5,0.0362,0.2115,0.7523,borrowed,fallback_skill_no_data:borrow_nearest_skill,True,True,,1D+1D sum upto 20,1D+1D sum upto 20,False,,,,
q_add_00076_z,,25065f5a-04d7-4c68-a9ca-2238b86e3395,Addition|1D+1D sum upto 9|Fib||3|4,q_add_00076_z,Addition,1D+1D sum upto 9,Fib,6,0.0319,0.0915,0.8766,borrowed,fallback_skill_no_data:borrow_nearest_skill,True,True,,1D+1D sum upto 20,1D+1D sum upto 20,False,,,,
